CSCI 513,Python Programming for AI,3
CSCI 595,Research Literature and Techniques (3 semester hours required),3
AI 500,Foundations of Artificial Intelligence,4
AI 510,Seminar in Artificial Intelligence Ethics,3
CSCI 527,Data Mining,3
CSCI 576,Computer Vision,3
AI 520,Machine Learning for Artificial Intelligence,3
ENG 685,Symbolic Computational Linguistics,3

CSCI 503,Trusted Artificial Intelligence and Autonomous Systems,3
CSCI 556,Data Analysis & Visualization,3
CSCI 560,Neural Networks and Deep Learning,3
CSCI 573,Big Data Computing and Analytics,3

ENG 555,General Linguistics,3
ENG 562,Psycholinguistics,3
ENG 682,Machine Learning for Linguists,3
ENG 683,Algorithm Design for Linguists,3
