Component,Name,Article,,
FPNet,Frequency Perception Network,Frequency Perception Network for Camouflaged Object Detection,,
CFM,Correction Fusion Module,Frequency Perception Network for Camouflaged Object Detection,,
CFM,"Correction Fusion Module, direct lineage",Camouflaged Object Detection via Context-aware Cross-level Fusion,,
CFM,"Correction Fusion Module, inspiration",Context-aware Cross-level Fusion Network for Camouflaged Object Detection,,
Foundational,,Detecting Camouflaged Object in Frequency Domain,,
LF,Loss Function,"F3Net Fusion, Feedback and Focus for Salient Object Detection",,
"NCD, SINet",Neighbor Detection Decoder,Concealed Object Detection,,
Octave Convolution,,"Drop an Octave
Reducing Spatial Redundancy Convolutional Neural Networks with Octave Convolution",,
PVT,Pyramid Vision Transformer,Pyramid Vision Transformer a Versatile Backbone for Dense Prediction without Convolutions,,
RFB,Receptive Field Block,Receptive Field Block Net for Accurate and Fast Object Detection,,
SAM,Spatial Attention Mechanism,Convolutional Block Attention Module,,
FPM,Frequency Perception Module,Frequency Perception Network for Camouflaged Object Detection,,
Component Level,Component,,,
1,FPNet (Frequency Perception Network),,,
1.1,Feature Extraction Backbone,,,
1.1.1,PVT (Pyramid Vision Transformer),,,
1.1.1.1,overall 4 stages,,,
1.1.1.2,patch embedding layer,,,
1.1.1.3,"L1, L2, L3, and L4 Transformer Encoding Layers",,,
1.1.1.3.1,attention layer,,,
1.1.1.3.2,feed-forward layer,,,
1.1.1.4,"1st stage, flattened 4x4 patches to a linear projection",,,
1.1.1.5,"1st stage, transformer with L1 levels",,,
1.1.1.6,"F1, feature map, 4x4",,,
1.1.1.7,"F2, feature map, 8x8",,,
1.1.1.8,"F3, feature map. 16x16",,,
1.1.1.9,"F4, feature map, 32x32",,,
1.1.1.10,"Feature pyramid, F1, F2, F3, F4",,,
1.1.1.11,progressive shrinking strategy,,,
1.1.1.12,Spatial-Reduction Attention,,,
1.1.2,"X1 feature map, rich detail information",,,
1.1.3,"X2 feature map, higher level semantic information",,,
1.1.4,"X3 feature map, higher level semantic information",,,
1.1.5,"X4 feature map, higher level semantic information",,,
1.2,Frequency-guided Coarse Localization Stage,,,
1.2.1,"FPM, Frequency-perception Module
frequency-domain feature extraction on high-level features
automatically separate features into high-frequency and low-frequency parts",,,
1.2.2,"NCD, Neighborhood Connection Decoder, feature fusion decoding",,,
1.2.3,"S1, coarse COD map, high-level features are embedded into CFM",,,
1.2.4,Octave Convolution,,,
1.3,Detail-preserving Fine Localization Stage,,,
1.3.1,"CFM, Correction Fusion Module
progressively achieves prior-guided correction and fusion across layers
fuses adjacent layer features and a coarse camouflaged mask to produce fine output",,,
1.3.2,"RFB, Receptive Field Block, low-level high-resolution feature optimization",,,
1.3.3,"SAM, Spatial Attention Mechanism",,,
1.3.4,"Soutput, the final COD result, output of SAM and CFM combined",,,
1.3.5,"Sg, coarse mask ",,,
1.3.6,Prior-guided Correction,,,
1.3.7,Channel-wise Correlation Modeling,,,
1.4,Loss Function,,,
Component,Term,Definition,Example,
SAM,[·;·] (concatenation operator),"Notation for concatenating tensors along a specified axis, here channel axis in spatial attention.",[F_avg; F_max] yields a 2×H×W tensor from two 1×H×W maps.,
SAM,⊗ (element-wise multiplication operator),Symbol denoting Hadamard (element-wise) product between attention and feature maps.,Mc ⊗ F applies channel attention map to feature map.,
FPNet,1×1 convolution,"A convolutional operation with a 1×1 kernel that linearly projects between channel dimensions without changing spatial resolution. It is commonly used for channel reduction, expansion, or fusion of feature maps.",Using a 1×1 conv to reduce a 256-channel feature map to 64 channels before frequency fusion.,
RFB,1×1 convolution,A pointwise conv using 1×1 kernels that merges channel information or reduces/increases channel count without affecting spatial size.,A 1×1 conv reduces 1536 channels to 512 after branch concatenation.,
Octave Convolution,1×1 convolution,A pointwise convolution that mixes information across channels without affecting spatial dimensions.,Using a 1×1 conv to reduce a 256-channel tensor to 64 channels before applying a 3×3 conv in a bottleneck block.,
FPNet,3×3 convolution,A standard convolutional filter of size 3×3 that captures local spatial patterns and edge information. Stacking multiple 3×3 layers increases the effective receptive field while keeping parameter count moderate.,Applying a 3×3 conv to extract texture details around a camouflaged frog’s outline.,
RFB,3×3 convolution,"The standard convolution using a 3×3 kernel, balancing context and efficiency.","In RFB, the mid-scale branch applies a 3×3 conv at dilation=3 over the input map.",
Octave Convolution,3×3 convolution,A local convolution with a 3×3 kernel that extracts spatial features while preserving much of the input resolution when stride=1.,Replacing all 3×3 vanilla convolutions in MobileNetV1 with OctConv (α = 0.5) to cut computation in half for low-frequency maps.,
Octave Convolution,3D convolution,"A convolutional operation that spans three dimensions (height, width, time) for video data, extending 2D conv to handle temporal information.",I3D inflates a 2D ResNet by replacing each 3×3 conv with a 3×3×3 conv to process 16-frame video clips.,
RFB,5×5 convolution,A convolution with a 5×5 kernel capturing broader context but with more parameters.,The large-scale branch in RFB applies 5×5 conv with dilation=5 on conv7 feature map.,
