Section	Spec	Statement
§Title	1	Frequency Perception Network for Camouflaged Object Detection
§Authors	1	Runmin Cong, Mengyao Sun, Sanyi Zhang, Xiaofei Zhou, Wei Zhang, and Yao Zhao
§A	1	Abstract
§A.1	1	Camouflaged object detection (COD) aims to accurately detect objects hidden in the surrounding environment.
§A.2	0	However, the existing COD methods mainly locate camouflaged objects in the RGB domain, their performance has not been fully exploited in many challenging scenarios.
§A.3	1	Considering that the features of the camouflaged object and the background are more discriminative in the frequency domain, we propose a novel learnable and separable frequency perception mechanism driven by the semantic hierarchy in the frequency domain.
§A.4	1	Our entire network adopts a two-stage model, including a frequency-guided coarse localization stage and a detail-preserving fine localization stage.
§A.5	1	With the multi-level features extracted by the backbone, we design a flexible frequency perception module based on octave convolution for coarse positioning.
§A.6	1	Then, we design the correction fusion module to step-by-step integrate the high-level features through the prior-guided correction and cross-layer feature channel association, and finally combine them with the shallow features to achieve the detailed correction of the camouflaged objects.
§1	1	Introduction
§1.1.1	0	In nature, animals use camouflage to blend in with their surroundings to avoid detection by predators.
§1.1.2	1	The camouflaged object detection (COD) task aims to allow computers to automatically recognize these camouflaged objects that blend in with the background, which can be used in numerous downstream applications, including medical segmentation (Fan et al., 2020b; Huang et al., 2020; Cong et al., 2022c, b), unconstrained face recognition (Chen et al., 2023), and recreational art (Feng and Prabhakaran, 2013; Dean et al., 2017).
§1.1.3	0	However, the COD task is very challenging due to the low contrast properties between the camouflaged object and the background.
§1.1.4	0	Furthermore, camouflaged objects may have multiple appearances, including shapes, sizes, and textures, which further increases the difficulty of detection.
§1.2.1	0	At the beginning of the research, the COD task was also regarded as a low-contrast special case of the salient object detection (SOD) task, but simple SOD model (Cong et al., 2019; Chen et al., 2020; Cong et al., 2023a; Zhang et al., 2021; Cong et al., 2023c, 2022a, 3883, b; Jing et al., 2021; Cong et al., 6476) retraining cannot obtain satisfactory COD results, and usually requires some special positioning design to find camouflaged objects.
§1.2.2	0	Recently, with the development of deep learning (Fan et al., 2020c; Ni et al., 2017; Hu et al., 2021; Yue et al., 2022; Zhang et al., 2023), many customized networks for COD tasks have gradually emerged (Lv et al., 2023; Fan et al., 2020a; Chen et al., 2022).
§1.2.3	0	However, current solutions still struggle in challenging situations, such as multiple camouflaged objects, uncertain or fuzzy object boundaries, and occlusion, as shown in Figure 1.
§1.2.4	0	In general, these methods mainly design modules in the RGB color domain to detect camouflaged objects, and complete the initial positioning of camouflaged objects by looking for areas with inconsistent information such as textures (called breakthrough points).
§1.2.5	0	However, the concealment and confusion of the camouflaged objects itself make this process very difficult.
§1.2.6	1	In the image frequency domain analysis, the high-frequency and low-frequency component information in the frequency domain describes the details and contour characteristics of the image in a more targeted manner, which can be used to improve the accuracy of the initial positioning. Inspired by this, we propose a Frequency Perception Network (FPNet) that employs a two-stage strategy of search and recognition to detect camouflaged objects, taking full advantage of RGB and frequency cues.
§1.3.1	1	On the one hand, the main purpose of the frequency-guided coarse positioning stage is to use the frequency domain features to find the breakthrough points of the camouflaged object position.
§1.3.2	1	We first adopt the transformer backbone to extract multi-level features of the input RGB image.
§1.3.3	1	Subsequently, in order to realize the extraction of frequency domain features, we introduce a frequency-perception module to decompose color features into high-frequency and low-frequency components.
§1.3.4	1	Among them, the high-frequency features describe texture features or rapidly changing parts, while the low-frequency features can outline the overall contour of the image.
§1.3.5	1	Considering that both texture and contour are important for camouflaged object localization, we fuse them as a complete representation of frequency domain information.
§1.3.6	1	In addition, a neighbor interaction mechanism is also employed to combine different levels of frequency-aware features, thereby achieving coarse detection and localization of camouflaged objects.
§1.3.7	1	On the other hand, the detail-preserving fine localization stage focuses on progressively prior-guided correction and fusion across layers, thereby generating the final finely camouflaged object masks.
§1.3.8	1	Specifically, we design the correction fusion module to achieve the cross-layer high-level feature interaction by integrating the prior-guided correction and cross-layer feature channel association.
§1.3.9	1	Finally, the shallow high-resolution features are further introduced to refine and modify the boundaries of camouflaged objects and generate the final COD result.
§1.4.1	1	The main contributions are summarized as follows:
§1.4.2.1	1	We propose a novel two-stage framework to deeply exploit the advantages of RGB and frequency domains for camouflaged object detection in an end-to-end manner.
§1.4.2.2	1	The proposed network achieves competitive performance on three popular benchmark datasets (i.e., COD10K, CHAMELEON, and CAMO).
§1.4.3	1	A novel fully frequency-perception module is designed to enhance the ability to distinguish camouflaged objects from backgrounds by automatically learning high-frequency and low-frequency features, thereby achieving coarse localization of camouflaged objects.
§1.4.4	1	We design a progressive refinement mechanism to obtain the final refined camouflaged object detection results through prior-guided correction, cross-layer feature channel association, and shallow high-resolution boundary refinement.
§2	1	Related Work
§2.1.1	0	The COD task aims to localize objects that have a similar appearance to the background, which makes it extremely challenging.
§2.1.2	0	Early methods employed hand-crafted low-level features to achieve this goal, such as color (Huerta et al., 2007), expectation-maximization statistics (Liu et al., 2012), convex intensity (Tankus and Yeshurun, 2001), optical flow (Hou and Li, 2011), and texture (Bhajantri and Nagabhushan, 2006; Kavitha et al., 2011).
§2.1.3	0	However, due to the imperceptible differences between objects and backgrounds in complex environments, and the limited expressive power of hand-crafted features, they do not perform satisfactorily.
§2.2.1	0	Recently CNN-based methods (Le et al., 2019; Fan et al., 2020a; Mei et al., 2021) have achieved significant success in the COD task.
§2.2.2	0	In general, CNN-based methods often employ one or more of the following strategies, such as two-stage strategy (Fan et al., 2020a; Chen et al., 2022), multi-task learning strategy (Lv et al., 2021), and incorporating other guiding cues such as frequency (Gueguen et al., 2018).
§2.2.3	0	For instance, Fan et al. (Fan et al., 2020a) proposed a two-stage process named SINet, which represents the new state-of-the-art in existing COD datasets and created the largest COD10K dataset with 10K images.
§2.2.4	0	Mei et al. (Mei et al., 2021) imitated the predator-prey process in nature and developed a two-stage bionic framework called PFNet.
§F2	1	Figure 2
§F2.1	1	The overview of our proposed two-stage network FPNet.
§F2.2	1	The input image is first extracted with multi-level features by a PVT encoder.
§F2.3	1	In the frequency-guided coarse localization stage, we use FPM for frequency-domain feature extraction and generate the coarse COD map S1.
§F2.4	1	Then, in the detail-preserving fine localization stage, the CFM is used to achieve progressively prior-guided correction and fusion across high-level layers.
§F2.5	1	Finally, the first-level high-resolution features are further introduced to refine the boundaries of camouflaged objects and generate the final result So⁢u⁢t⁢p⁢u⁢t.
§F2D	1	Figure 2 Description
§F2D.0	1	The source image is fed as input into Level 1 block in the top block
§F2D.1	1	The top block is the frequency-guided Coarse Positioning Stage
§F2D.2	1	The middle block has the four Level blocks which output X1, X2, X3, and X4.
§F2D.3	1	The bottom block is the detailed-preserving Fine Localization Stage
§F2D.4	1	The top block has three FPMs: FPM2, FPM3, and FPM4
§F2D.5	1	The bottom block has two CFMs: CFM1 and CFM2.
§F2D.6	1	In the top block each FPM is a Frequency-Perception Module
§F2D.7	1	In the bottom block each CFM is a Correction Fusion Module
§F2D.8	1	In the top block: FPM2 → f2, FPM3 → f3, and FPM4 → f4
§F2D.9	1	In the top block: S1 = concat_plus_conv((f2 * f3) * (f3 * f4), concat_plus_conv((f3 * f4), f4))
§F2D.10	1	In the middle block each Level block has a Patch Emb block, plus a non-linearity like sigmoid then inputs to Encoder block
§F2D.11	1	In the middle block the Level blocks use upsample + conv to daisy chain output between X1, X2, X3, and X4
§F2D.12	1	In the bottom block are the RFB, Receptive Feild Block
§F2D.13	1	In the bottom block are the SAM, Spatial Attention Module
§F2D.14	1	In the bottom block: Conv(CFM2 output) → CFM1
§F2D.15	1	In the bottom block: Soutput = Bconv_1x1(Bconv_3x3((RFB → SAM output) + CFM1 output))
§F2D.16	1	In the bottom block: Bconv is sequence Conv + BN + ReLU
§F2D.17	1	From the top block to the bottom block: S1 → CFM2
§F2D.18	1	From the middle block to the the top block: X2 → FPM2, X3 → FPM3, and X4 → FPM4
§F2D.19	1	From the middle block to the bottom block: X2 → CFM1 and X3 → CFM1
§F2D.20	1	From the middle block to the bottom block: X3 → CFM2 and S1 → CFM2
§F2D.21	1	From the middle block to the bottom block: X1 → RFB
§2.3.1	0	In terms of frequency domain studies, Gueguen et al. (Gueguen et al., 2018) directly used the Discrete Cosine Transform (DCT) coefficients of the image as input to CNN for subsequent visual tasks.
§2.3.2	0	Ehrlich et al. (Ehrlich and Davis, 2019) presented a general conversion algorithm for transforming spatial domain networks to the frequency domain.
§2.3.3	0	Interestingly, both of these works delve deep into the frequency domain transformation of the image JPEG compression process.
§2.3.4	1	Subsequently, Zhong et al. (Zhong et al., 2022) modeled the interaction between the frequency domain and the RGB domain, introducing the frequency domain as an additional cue to better detect camouflaged objects from backgrounds.
§2.3.5	1	Unlike these methods, on the one hand, we use octave convolution to realize the online learning of frequency domain features, instead of offline extraction methods (e.g., DCT);
§2.3.6	1	On the other hand, frequency domain features are mainly used for coarse positioning in the first stage, that is, by making full use of high-frequency and low-frequency information to find the breakthrough point of camouflaged object positioning in the frequency domain.
§2.4.1	0	In addition, some methods (Liu et al., 2021b; Owens et al., 2014; Sun et al., 2022) also try to combine edge detection to extract more precise edges, thereby improving the accuracy of COD.
§2.4.2	0	It is worth mentioning that in order to exploit the power of the Transformer model in the COD task, many Transformer-based methods have emerged.
§2.4.3	0	For example, Yang et al. (Yang et al., 2021) proposed to incorporate Bayesian learning into Transformer-based reasoning to achieve the COD task.
§2.4.4	0	The T2Net proposed by Mao et al. (Mao et al., 2021) in 2021 used a Swin-Transformer as the backbone network, surpassing all CNN-based approaches at that time.
§3	1	Our Approach
§3.1	1	Overview
§3.1.1.1	1	Our goal is to exploit and fuse the inherent advantages of the RGB and frequency domains to enhance the discrimination ability to discover camouflaged objects in the complex background.
§3.1.1.2	1	To that end, in this paper, we propose a Frequency Perception Network (FPNet) for camouflaged object detection, as shown in Figure 2, including a feature extraction backbone, a frequency-guided coarse localization stage, and a detail-preserving fine localization stage.
