Term,Definition,Example
3D pose estimation,Inferring the 3D position and orientation of an object or person from image(s).,Estimating a person’s joint angles in a single RGB image for motion capture.
3D reconstruction,Building a 3D model of a scene or object from 2D images.,Reconstructing a statue’s geometry from multiple photos taken around it.
activity recognition,"Identifying human actions (e.g. walking, running) from video.","Classifying video clips as “sitting,” “walking,” or “jumping.”"
actual intensity,Measured brightness value recorded by a sensor for each pixel.,A camera captures a pixel value of 120 on a 0–255 scale.
AlexNet,A landmark CNN architecture (2012) that popularized deep learning for image classification.,"Classifying ImageNet images with 8 layers, winning the 2012 ILSVRC."
aliasing,"Distortion when high-frequency detail is sampled too coarsely, causing artifacts.",“Jaggies” on a diagonal line in a low‑resolution image.
analog image,"A continuous image signal (e.g. film, CRT) rather than digital discrete samples.",Photographic film negative before scanning.
Apollo missions,NASA’s crewed lunar missions (1968–1972) that captured pioneering space imagery.,High‑resolution panoramas of the Moon’s surface from Apollo 17.
artificial intelligence,"Broad field developing algorithms that exhibit “intelligent” behavior, including vision.",Using a neural network to drive a robot arm.
artificial light,"Man‑made illumination (LED, incandescent) used in imaging instead of natural daylight.",Using studio strobes to photograph a product.
artistic effects,Applying filters or stylizations to give images an artistic look.,Turning a photo into a “watercolor” painting via style transfer.
augmented reality,Overlaying virtual content on live camera views.,Displaying navigation arrows on your phone camera feed.
auto‑detected features,"Keypoints or descriptors found automatically by algorithms (e.g. SIFT, FAST).",Detecting corner points in an image for matching.
autoencoders,"Neural nets trained to reconstruct inputs via a bottleneck, learning compressed representations.",Denoising an image by encoding and then decoding it.
autonomous navigation,Planning and executing paths in an environment without human intervention.,A robot vacuum mapping and cleaning a room on its own.
autonomous perception,A system’s ability to perceive its environment without human input.,A self‑driving car detecting obstacles in real time.
autonomous system,A system capable of operating independently.,A drone navigating without remote piloting.
Bartlane service,Early 1920s telegraph‑based news service for transmitting images over telephone lines.,Sending news photos across the Atlantic by wire.
Bartlane system,The apparatus used in the Bartlane Service to encode and decode telegraphed images.,The scanner and printer at the endpoints of a Bartlane transmission.
black & white,"Images consisting of luminance only, without color.",A monochrome portrait in grayscale.
blind convolution,"Convolution operation when the kernel is unknown, typically solved via blind deconvolution.",Restoring a blurred image without knowing the blur kernel.
blurring,Smoothing an image by averaging neighboring pixels.,Applying a Gaussian blur to reduce noise.
brightness adaptation,The visual system’s adjustment to different overall light levels.,Camera auto‑exposure adapting to indoor vs. outdoor lighting.
brightness discrimination,The ability to detect small differences in luminance between areas.,Noticing slight shade differences between two gray patches.
C/C++,Popular programming languages for high‑performance vision code.,Implementing real‑time edge detection in optimized C++.
candela,SI unit of luminous intensity.,A light source emitting 1 cd has the brightness of a standard candle.
Canny,Early edge detector by John Canny (1986) optimizing detection and localization.,The multi-stage algorithm that finds edges with non‑max suppression.
Canny edge detector,"The full algorithm using gradient filtering, non‑max suppression, and hysteresis thresholding.",Extracting crisp edges for object boundary detection.
CAT scan,Computed tomography using X‑rays to produce cross‑sectional medical images.,A head CT used to detect brain hemorrhage.
CCD arrays,Charge‑coupled device sensors converting light to electrons in digital imaging.,DSLR cameras using CCD sensors for low noise.
