Term,Definition,Example
3D pose estimation,"Determining an object or person’s spatial orientation and position in three dimensions from one or more images. It’s key for applications like motion capture, robotics, and AR.",Estimating a human skeleton’s joint angles from a single webcam frame for gesture control.
3D reconstruction,Rebuilding a three-dimensional model of a scene or object using multiple 2D images or depth maps. Common techniques include structure-from-motion and stereovision.,Creating a textured mesh of a statue from dozens of photos taken around it.
activity recognition,"Automatically identifying human actions (e.g., walking, jumping) from video sequences or sensor streams. It combines spatio-temporal feature extraction with classification models.",Flagging a person raising their hand in a security camera feed.
actual intensity,"The true, physical brightness value of a scene point before quantization or processing. It differs from perceived or camera-adjusted intensity and often serves as a ground-truth reference.","The raw sensor reading (e.g., 0.35 cd/m²) measured by a calibrated photometer."
AlexNet,"A landmark convolutional neural network that won the 2012 ImageNet challenge, reigniting deep learning for vision. It has five convolutional layers followed by three fully connected layers and uses ReLU activation.","Loading pretrained AlexNet in PyTorch to classify an image into one of 1,000 categories."
aliasing,Artifacts like jagged edges or moiré patterns that occur when high-frequency image details are undersampled. Prevented by antialiasing filters or by capturing at higher resolution.,Noticing “stair-step” edges on diagonal lines when downscaling an architectural blueprint.
analog image,"A continuous, non-digital representation of visual information—examples include film photographs or CRT displays. Intensities vary smoothly rather than in discrete levels.",A silver-halide print developed from a 35 mm camera negative.
Apollo missions,NASA’s lunar exploration programs (1961–1972) that captured high-resolution analog photographs of the Moon’s surface. These images were later digitized for scientific analysis.,Scanning Apollo 11 surface photos at high resolution for crater-size measurement.
artificial intelligence,"The discipline of creating machines or algorithms capable of tasks that normally require human intelligence, such as perception, reasoning, and learning. In vision, AI powers object detection, classification, and more.",Deploying a neural-network-based model to detect faces on a smartphone.
artificial light,"Man-made illumination—LEDs, fluorescents, incandescent bulbs—that affects color balance and exposure. Image-processing pipelines often include white-balance and exposure‐correction to compensate.",Auto-adjusting white balance when shooting indoors under tungsten lamps.
