Concept,Terms,Notes
introduction,digital image,A representation of a scene as a finite two-dimensional array of discrete values (pixels). Example: Raw photograph saved as a 1024×768 array of RGB tuples.
introduction,digital image processing,"The arsenal of algorithms and operations applied to digital images to enhance, restore or analyze. Example: Applying a median filter to remove salt-and-pepper noise in a scan."
introduction,computer vision,The branch of AI focused on enabling machines to interpret and reason about image content. Example: Autonomous vehicle detecting pedestrians and traffic signs.
human vision,lens,The adjustable optical element that focuses incoming light onto the retina. Example: Ciliary muscles contract to thicken the lens when viewing near objects.
human vision,retina,The light-sensitive neural layer at the back of the eye converting photons into electrical signals. Example: Contains rods and cones; output travels via the optic nerve.
human vision,cone light receptors,"Photoreceptors active in bright light, responsible for color perception and high-resolution detail. Example: Three cone types (L, M, S) peak at red, green, blue wavelengths."
human vision,rod light receptors,"Highly sensitive photoreceptors functioning in low light, providing night vision but no color detection. Example: Enable vision in dim starlight but produce only grayscale impressions."
human vision,fovea,"Small central retinal area with the highest density of cones, yielding the sharpest visual acuity. Example: Reading small text or recognizing faces uses foveal vision."
image formation,illumination source,"The light emitter (natural or artificial) that illuminates a scene for imaging. Example: Sunlight, studio strobe, LED ring light."
image formation,muscles change shape of lens,The biomechanical process (accommodation) by which ocular muscles adjust lens curvature for focus. Example: Ciliary muscle contraction thickens lens to focus on a close book.
brightness adaptation & discrimination,1 in 10_000_000_000 intensity perception,"The remarkable human ability to detect a single photon difference across ten-billion-to-one light levels. Example: In a dark room, adding a single photon can still be perceived by a rod cell."
brightness adaptation & discrimination,brightness adaptation,"The retina’s dynamic adjustment of sensitivity when ambient light changes drastically. Example: Going from bright outdoors into a dimly lit theater, vision gradually adapts over minutes."
brightness adaptation & discrimination,perceived intensity,"The subjective sensation of brightness as interpreted by neural processing, not linearly tied to power. Example: A bright bulb looks twice as bright to the eye, even though its radiant flux may only increase by 20%."
brightness adaptation & discrimination,actual intensity,"The physical measurement of light power per unit area (e.g., lux, candela). Example: A 100-lux office overhead lamp versus a 500-lux surgical light."
light & electromagnetic spectrum,wavelengths,The spatial period of electromagnetic wave oscillations determining perceived color (for visible range). Example: 700 nm red light; 550 nm green light; 400 nm violet light.
light & electromagnetic spectrum,energy,Photon energy inversely proportional to wavelength; governs penetration and interaction with matter. Example: X-rays (~0.1 nm) have high energy; radio waves (>1 m) have low energy.
light & electromagnetic spectrum,gamma-ray band,"Extremely short (<0.01 nm) high-energy EM waves, produced by nuclear or cosmic events. Example: Gamma-ray bursts from deep space; used in cancer radiotherapy."
light & electromagnetic spectrum,x-ray band,High-energy waves (0.01–10 nm) that penetrate soft tissue but are absorbed by bone and dense materials. Example: Medical radiography; CT scans.
