Concept,Ideas
introduction to image processing,what is image enhancement?
image enhancement,highlight interesting detail
image enhancement,remove noise
image enhancement,make more appealing
spatial & frequency domains,spatial domain techniques
spatial & frequency domains,frequency domain techniques
grey levels,integer or real value
spatial domain image enhancement,"g(x0, y0) = T[f(x0, y0)], T defined over neighborhood"
spatial domain image enhancement,"point processing, intensiy transform, neighborhood size is 1x1"
spatial domain image enhancement,"spatial filtering, neighborhood size greater than 1x1"
intesity transformation,image processing
intesity transformation,point processing
intesity transformation,negative images
intesity transformation,thresholding
intesity transformation,logarithmic transformations
intesity transformation,power law transformations
intesity transformation,grey-level slicing
intesity transformation,bit plane slicing
intesity transformation,"T is grey-level transformation function, point-processing operation"
intesity transformation,"s = T(r), where r refers to original pixel and s refers to processed pixel"
intesity transformation - negative images,"enhances white or grey detail in dark regions, s = intensity_max - r"
intesity transformation - thresholding,"segments and isolates object from background, s = 0 if r <= threshold, s = 1 if r > threshold"
intesity transformation - basic grey-level,"linear, negative or identity"
intesity transformation - basic grey-level,"logarithmic, logarithm or inverse logarithm"
intesity transformation - basic grey-level,"power law, nth power, nth root"
intesity transformation - logarithmic,"s = c * log(1 + r), c is usually 1"
intesity transformation - logarithmic,expands values of dark pixels while compressing lighter pixels
intesity transformation - logarithmic,"useful when have a large range of grey level values, compresses the dynamic range"
intesity transformation - logarithmic,useful after a fourier transform to reveal more detail
intesity transformation - power law,"s = c * r ** γ, c is usually 1"
intesity transformation - power law,"γ < 1.0 to increase darker contrast, compress lighter, like 0.2"
intesity transformation - power law,"γ > 1.0 to increase lighter contrast, compress darker, like 5.0"
intesity transformation - piecewise-linear,s = r * envelope?
intesity transformation - bit-plane slicing,"s = r & bit_mask, 0x1000, 0x0100, 0x0010, 0x0001"
intesity transformation - average image,"corrupted image: g(x, y) = f(x, y) + η(x, y)"
intesity transformation - average image,η noise has zero mean value
intesity transformation - average image,every pair of points has noise uncorrelated
intesity transformation - average image,average a set of K noisy images
histogram equalization,image processing
histogram equalization,distribution of grey-levels in an image
histogram equalization,"useful in image processing, especially segmentation"
histogram equalization,distribution of dark image
histogram equalization,distribution of bright image
histogram equalization,distribution of low-contrast image
histogram equalization,distribution of high-contrast image
histogram equalization,contrast stretching
histogram equalization,"CDF, cumulative distribution function of a random variable"
histogram equalization,"function of input intensity, frequencies of intensity, total number of pixels"
histogram equalization,example of a 3-bit 64x64 image
