Concept,Ideas,Tiny Lesson
introduction to image processing,what is image enhancement?,Image enhancement involves algorithms to improve an image’s interpretability by emphasizing features or reducing distortions.
image enhancement,highlight interesting detail,"Techniques like contrast stretching and edge enhancement amplify subtle structures, making features stand out clearly."
image enhancement,remove noise,"Filters such as median or Gaussian smoothing suppress random intensity fluctuations, yielding a cleaner image without sacrificing key details."
image enhancement,make more appealing,Adjustments like histogram equalization and gamma correction refine brightness and contrast to create more visually pleasing images.
spatial & frequency domains,spatial domain techniques,Spatial methods modify pixel values directly using neighborhood operations such as local averaging or morphological transforms.
spatial & frequency domains,frequency domain techniques,"Frequency methods transform the image into the spectral domain (e.g., via Fourier transform), filter desired frequencies, and then reconstruct it."
grey levels,integer or real value,"Pixel intensities can be quantized as discrete integers (e.g., 0–255) or represented with continuous real values, affecting precision and complexity."
spatial domain image enhancement,"g(x0, y0) = T[f(x0, y0)], T defined over neighborhood","This notation describes a general enhancement where the output at (x₀, y₀) is a function T applied to input pixels within a defined neighborhood."
spatial domain image enhancement,"point processing, intensiy transform, neighborhood size is 1x1","Point processing applies a transform T solely to each pixel independently, enabling operations like thresholding and contrast stretching."
spatial domain image enhancement,"spatial filtering, neighborhood size greater than 1x1","Spatial filtering uses windows larger than one pixel (e.g., a 3×3 filter) to perform operations like smoothing or sharpening based on neighborhood values."
intesity transformation,image processing,"Intensity transformations adjust pixel brightness values through direct mapping functions applied to all pixels, altering the overall appearance of the image."
intesity transformation,point processing,"In point processing, each pixel is independently mapped from its original intensity to a new one via a function T, without using any neighboring pixel information."
intesity transformation,negative images,"Negative transforms invert every pixel’s value (s = L–1 – r), turning dark regions light and vice versa, which helps reveal details hidden in shadows."
intesity transformation,thresholding,"Thresholding makes binary an image by assigning pixels below or above a cutoff to two levels, effectively segmenting objects from the background."
intesity transformation,logarithmic transformations,"Log transforms apply s = c·log(1 + r) to compress high-intensity values and expand low-intensity ones, reducing dynamic range while enhancing dark details."
intesity transformation,power law transformations,"Power-law (gamma) transforms use s = c·rᵞ to create nonlinear intensity mappings, where γ controls whether darker (γ < 1) or lighter (γ > 1) regions gain more contrast."
intesity transformation,grey-level slicing,"Grey‐level slicing boosts intensities within a specified range and suppresses others, isolating features of interest by highlighting a target band of grey levels."
